dummy,bedrooms,bathrooms,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,price,month,day,year
1,3,1.5,6914,1.0,0,0,3,7,1000,0,1947,0,98125,47.7144,-122.319,1000,3.78,11,13,2014
1,4,2.0,9126,1.0,0,0,5,7,1850,0,1963,0,98059,47.5009,-122.164,1730,3.29,3,18,2015
1,3,3.25,4446,2.0,0,0,3,9,2450,500,2001,0,98116,47.5852,-122.391,1930,9.3,9,15,2014
1,3,1.75,7210,1.0,0,0,5,8,1670,0,1967,0,98008,47.6344,-122.116,2200,6.78,4,14,2015
1,5,2.5,10560,1.0,0,0,3,8,1500,1500,1966,0,98004,47.6249,-122.206,2690,8.0,5,6,2015
1,3,1.75,9680,1.0,0,0,4,7,1370,0,1977,0,98074,47.6127,-122.045,1370,4.0,10,7,2014
1,3,2.5,2550,3.0,0,0,3,7,1590,0,1985,0,98117,47.6772,-122.393,1260,4.88,5,27,2014
1,2,1.5,853,2.0,0,0,3,7,820,160,2009,0,98144,47.5925,-122.295,1130,3.78,3,28,2015
1,3,2.5,3003,2.0,0,0,3,7,1520,0,2009,0,98059,47.4876,-122.153,1820,3.3,9,25,2014
1,4,2.5,5000,2.0,0,0,3,7,1770,0,2004,0,98038,47.3503,-122.005,2080,2.915,7,24,2014
1,2,1.0,6550,1.0,0,0,3,7,820,0,1949,2012,98126,47.5478,-122.381,1640,3.7,8,7,2014
1,3,1.75,8372,1.0,0,0,4,7,1460,0,1981,0,98042,47.3683,-122.087,1220,2.25,10,30,2014
1,4,4.0,8250,2.0,0,0,3,10,2860,710,2015,0,98040,47.5784,-122.226,2230,5.97326,6,25,2014
1,3,1.0,10181,1.0,0,0,3,7,960,0,1961,0,98034,47.7231,-122.229,1740,3.22,1,27,2015
1,2,1.0,8100,1.0,0,0,3,6,1020,0,1940,0,98168,47.4971,-122.334,1200,1.95,6,27,2014
1,4,2.25,20280,2.0,0,0,4,7,2070,0,1968,0,98072,47.774,-122.134,2190,4.95,3,18,2015
1,3,1.75,22702,1.0,0,0,4,7,2160,0,1981,0,98019,47.7355,-121.982,1820,2.6,2,24,2015
1,4,3.0,13000,2.0,0,0,4,8,2120,0,1978,0,98059,47.4745,-122.141,2180,3.85,10,23,2014
1,4,2.75,10720,1.0,0,0,4,8,1420,600,1976,0,98052,47.6373,-122.104,2190,5.55,6,5,2014
1,3,2.5,4800,1.0,0,0,3,7,1200,200,1921,0,98117,47.6865,-122.379,1440,5.37,3,26,2015
1,3,1.5,9750,1.0,0,0,4,6,1400,0,1964,0,98030,47.3768,-122.17,1160,2.75,3,30,2015
1,3,2.5,13775,1.0,0,0,3,8,1550,1090,1978,0,98005,47.5875,-122.177,2120,5.3,12,10,2014
1,3,1.5,9520,1.0,0,0,3,8,1500,1040,1959,0,98115,47.6834,-122.306,1870,6.9,7,21,2014
1,3,2.25,41250,2.0,0,0,3,7,2680,0,1984,0,98045,47.4817,-121.749,1940,5.9,8,15,2014
1,3,2.75,9600,1.0,0,0,3,7,2080,0,1988,0,98028,47.7698,-122.238,2220,4.15,3,10,2015
1,4,2.0,4680,2.0,0,0,3,9,2410,0,1974,0,98008,47.6234,-122.113,1910,4.7,11,10,2014
1,4,1.75,7245,1.0,0,0,4,7,880,850,1955,0,98007,47.5995,-122.144,1550,4.23,5,6,2015
1,3,2.5,10711,1.0,1,4,3,9,1560,1430,1976,1991,98198,47.3573,-122.324,2870,8.2,10,30,2014
1,3,2.25,5739,1.0,0,0,3,7,790,430,1984,0,98115,47.6952,-122.326,1870,2.8,2,10,2015
1,2,1.75,4158,1.0,0,0,4,7,1220,280,1947,0,98103,47.7006,-122.35,1270,3.4,1,27,2015
1,3,1.75,7875,1.0,0,0,3,7,1580,0,1979,0,98022,47.1958,-122.003,1560,1.95,8,7,2014
1,3,3.0,2875,2.0,0,0,3,8,1710,150,2009,0,98126,47.5511,-122.373,1350,3.9995,12,11,2014
1,2,1.5,1525,2.0,0,0,3,7,1020,0,2004,0,98133,47.704,-122.347,1020,2.12,5,9,2014
1,2,1.5,1444,2.0,0,0,3,9,1080,540,2007,0,98144,47.5892,-122.309,1660,5.25,9,23,2014
1,2,1.75,7230,1.0,0,0,3,7,1570,270,1938,0,98030,47.3815,-122.228,1282,2.45,9,24,2014
1,4,2.5,9346,2.0,0,2,3,9,2490,0,1996,0,98042,47.3831,-122.147,2650,3.649,1,26,2015
1,4,2.5,21794,2.0,0,0,4,11,3600,0,1990,0,98077,47.7121,-122.072,3410,8.75,1,29,2015
1,3,1.75,15134,1.0,0,0,3,7,1410,0,1980,0,98014,47.6931,-121.921,1770,3.15,2,9,2015
1,4,1.75,8311,1.0,0,0,4,7,1540,0,1950,0,98125,47.7046,-122.293,1890,5.125,9,11,2014
1,3,1.75,16909,1.0,0,0,5,8,1770,0,1977,0,98058,47.4458,-122.134,1960,4.1995,1,12,2015
1,3,2.25,9162,1.0,0,0,3,8,1570,1110,1978,0,98027,47.5683,-122.091,2480,5.9999,6,25,2014
1,3,2.5,7401,2.0,0,0,3,8,2120,0,1989,0,98029,47.5781,-122.018,2010,6.12,4,17,2015
1,3,2.5,4200,2.0,0,0,3,8,2060,0,2014,0,98038,47.3706,-122.018,2370,3.39989,8,4,2014
1,4,3.75,9916,2.0,0,0,3,11,3810,0,1989,0,98040,47.5739,-122.234,3040,15.8,1,27,2015
1,3,2.5,5090,2.0,0,0,3,7,1670,0,2003,0,98056,47.4799,-122.18,2560,3.48,3,28,2015
1,3,1.75,7280,1.0,0,0,3,7,1070,1070,1910,0,98117,47.6993,-122.377,2280,6.035,3,27,2015
1,4,2.5,8147,2.0,0,0,3,10,3290,0,2003,0,98052,47.7048,-122.107,3290,8.565,7,15,2014
1,5,2.25,11411,1.0,0,0,4,8,1170,700,1961,0,98155,47.7445,-122.289,2420,5.54,6,18,2014
1,3,1.0,9000,1.0,0,0,4,7,1070,0,1950,0,98198,47.4061,-122.33,1840,2.65,5,6,2015
1,3,1.0,7200,2.0,0,0,4,6,1410,0,1901,0,98144,47.5924,-122.302,1640,7.0,7,9,2014
1,3,1.5,15000,1.0,0,0,3,7,1460,0,1966,0,98001,47.3182,-122.271,1510,2.32,7,8,2014
1,3,2.0,6833,1.0,0,0,3,7,1190,0,1995,0,98092,47.3191,-122.18,1540,2.0,6,25,2014
1,4,1.5,7220,2.0,0,0,3,7,1870,0,1956,0,98155,47.77,-122.319,1550,3.25,8,7,2014
1,3,2.5,2890,2.0,0,0,3,7,1690,0,2004,0,98053,47.6802,-122.031,1690,4.75,9,8,2014
1,4,2.75,4000,1.0,0,0,3,7,1190,950,1951,0,98115,47.6792,-122.287,2140,6.25,12,5,2014
1,4,2.5,6383,2.0,0,0,3,7,2990,0,2003,0,98038,47.3499,-122.027,2640,4.45,4,23,2015
1,4,1.75,7700,1.0,0,0,5,7,1740,0,1968,0,98008,47.6259,-122.111,1740,6.0,6,24,2014
1,3,2.5,43821,2.0,0,0,4,9,2860,0,1990,0,98092,47.3163,-122.142,2370,3.785,7,8,2014
1,3,2.0,8375,1.0,0,0,5,7,1110,0,1951,0,98115,47.6978,-122.297,1410,5.05,4,28,2015
1,3,2.0,6634,1.0,0,0,4,7,1210,0,1985,0,98031,47.4097,-122.193,1560,2.37,8,12,2014
1,2,2.5,940,2.0,0,0,3,7,809,0,2003,0,98136,47.5499,-122.384,1260,2.19,11,21,2014
1,3,2.5,8690,1.0,0,0,3,8,1430,650,1974,0,98166,47.4424,-122.344,2400,5.4995,9,10,2014
1,5,2.25,6000,1.0,0,0,4,8,1430,750,1966,0,98007,47.6235,-122.143,2160,6.35,4,7,2015
1,4,1.5,12688,1.5,0,0,4,7,1960,0,1962,0,98052,47.6304,-122.097,2050,4.42,7,18,2014
1,4,2.5,10764,1.0,0,0,4,9,1720,1580,1971,0,98177,47.7119,-122.365,2290,7.65,9,4,2014
1,3,3.0,19966,1.0,0,0,4,7,1090,760,1992,0,98038,47.3493,-122.034,1410,2.872,5,2,2014
1,4,2.25,14985,1.0,0,1,4,7,1950,460,1965,0,98166,47.4278,-122.343,2510,5.3,3,31,2015
1,3,3.5,1471,3.0,0,0,3,7,1500,0,1999,0,98177,47.7034,-122.362,1500,3.379,8,21,2014
1,3,1.75,8050,1.0,0,0,3,8,1440,0,1985,0,98023,47.3187,-122.39,1790,2.5895,12,8,2014
1,2,1.0,7617,1.0,0,0,3,6,910,0,1936,0,98125,47.7332,-122.305,1310,2.35,8,26,2014
1,3,2.0,7200,1.0,0,0,4,7,1570,0,1952,0,98155,47.7501,-122.314,1410,3.35,5,7,2014
1,2,1.0,18700,1.0,0,0,4,7,1210,0,1940,0,98042,47.3752,-122.166,2250,1.989,9,15,2014
1,4,2.5,5455,2.0,0,0,3,7,2160,0,2003,0,98056,47.4799,-122.183,2160,3.4,7,30,2014
1,4,2.0,3875,1.5,0,0,4,7,1710,0,1907,0,98122,47.6086,-122.294,1710,5.65,10,7,2014
1,3,1.5,7500,1.0,0,0,3,7,2320,0,1976,0,98019,47.7413,-121.979,1480,3.07,5,22,2014
1,5,4.0,15200,2.0,0,0,3,10,3720,0,2005,0,98075,47.5956,-122.026,4100,9.6,5,27,2014
1,4,1.5,3780,1.5,0,0,3,7,1220,0,1927,0,98107,47.6667,-122.36,1400,4.83,10,27,2014
1,4,2.5,19680,1.5,0,0,3,6,2100,0,1914,0,98055,47.4787,-122.23,1340,2.07,10,6,2014
1,2,1.0,31838,1.0,0,0,3,7,1000,0,1962,0,98045,47.4789,-121.779,1490,2.863,7,16,2014
1,3,1.0,10500,1.5,0,0,3,6,1390,0,1940,0,98024,47.567,-121.893,1350,3.925,3,9,2015
1,3,1.75,8500,1.0,0,0,4,7,1300,0,1964,0,98022,47.209,-122.005,1410,2.49,8,9,2014
1,3,2.5,7589,2.0,0,0,3,9,2490,0,1991,0,98056,47.5355,-122.179,2500,5.725,2,12,2015
1,3,2.5,5000,1.5,0,0,4,7,2110,890,1918,0,98144,47.5781,-122.293,1970,6.66,9,4,2014
1,3,1.0,8760,1.0,0,0,4,6,1510,0,1946,0,98002,47.3015,-122.216,1040,1.9,2,20,2015
1,3,1.75,2500,1.0,0,0,3,7,870,450,1918,0,98105,47.6681,-122.305,1580,5.3,7,7,2014
1,3,2.5,37096,2.0,0,0,3,9,2750,0,1989,0,98038,47.3732,-122.023,2700,3.75,12,26,2014
1,4,1.75,5940,1.0,0,0,3,8,1290,1050,1953,0,98115,47.6789,-122.281,1930,6.505,8,6,2014
1,3,2.25,4200,1.5,0,0,5,8,1520,660,1939,0,98112,47.6412,-122.302,1850,7.27,9,3,2014
1,3,1.75,3975,1.0,0,0,5,7,940,680,1926,0,98117,47.6786,-122.368,1320,6.41,5,23,2014
1,5,2.5,9583,1.0,0,0,3,7,1300,1200,1979,0,98198,47.3946,-122.312,2120,2.35,6,26,2014
1,2,2.5,11214,1.0,0,0,3,9,2680,0,2006,0,98053,47.7078,-122.019,2305,9.3,6,3,2014
1,2,1.0,3090,1.0,0,0,3,6,860,350,1926,0,98118,47.5532,-122.277,1210,3.66,9,18,2014
1,3,1.5,6527,1.0,0,0,3,7,1110,290,1957,0,98166,47.4535,-122.358,1690,2.65,9,12,2014
1,4,1.75,6650,1.5,0,0,4,6,1400,0,1942,0,98168,47.4888,-122.332,1120,2.765,3,16,2015
1,4,2.5,10613,2.0,0,0,3,9,2810,0,1989,0,98006,47.5424,-122.141,2800,8.1,6,22,2014
1,5,3.75,15959,2.0,0,0,3,11,4220,0,2004,0,98075,47.5869,-121.967,4630,11.7,10,21,2014
1,4,1.5,11536,1.0,0,1,4,7,1220,1010,1954,0,98166,47.4409,-122.348,2170,3.55,12,30,2014
1,4,2.5,7992,1.0,0,0,3,8,1610,900,1978,0,98032,47.3715,-122.285,2030,3.19,6,24,2014
1,3,2.75,6413,2.0,0,0,3,9,2460,0,2004,0,98028,47.7497,-122.245,2440,6.46,3,24,2015
1,3,2.25,9929,1.0,0,0,3,7,1200,640,1987,0,98028,47.7408,-122.236,1710,3.5,9,23,2014
1,4,3.5,110579,2.0,0,0,3,10,3260,0,1997,0,98053,47.6436,-121.997,3470,7.15,9,19,2014
1,3,1.75,6000,1.0,0,0,5,7,1120,920,1958,0,98116,47.5688,-122.397,1530,5.55,6,18,2014
1,4,3.0,199253,2.0,0,0,3,10,3350,0,2004,0,98010,47.3602,-121.988,3350,7.4,8,13,2014
1,3,2.5,8019,2.0,0,0,3,7,2217,0,2009,0,98001,47.2776,-122.251,1470,2.75,7,29,2014
1,2,1.75,2500,2.0,0,0,3,7,1160,0,2008,0,98014,47.6489,-121.911,970,3.1,8,20,2014
1,3,1.0,13184,1.0,0,0,4,7,1690,0,1959,0,98166,47.476,-122.343,1130,2.6,9,10,2014
1,3,1.5,8906,1.0,0,0,3,7,1160,0,1962,0,98118,47.5362,-122.29,1160,2.625,6,11,2014
1,3,2.25,9781,2.0,0,0,3,7,1840,0,1989,0,98019,47.7347,-121.976,1490,3.34,2,2,2015
1,3,2.5,14400,1.0,0,3,5,9,1720,1350,1985,0,98198,47.3716,-122.321,2020,5.5,12,5,2014
1,4,3.5,18334,2.0,0,0,3,10,3120,740,1996,0,98077,47.7095,-122.075,3550,8.4,6,17,2014
1,3,2.5,5931,2.0,0,0,3,9,2424,0,2014,0,98042,47.3515,-122.134,2424,3.75,3,31,2015
1,3,1.75,8200,1.0,0,0,5,8,1420,550,1963,0,98177,47.7602,-122.363,2140,5.4,6,18,2014
1,4,1.75,8045,1.0,0,0,4,7,1650,660,1976,0,98058,47.4569,-122.165,1790,3.1995,5,19,2014
1,4,1.0,7345,1.5,0,0,3,7,1770,0,1966,0,98106,47.5393,-122.351,1580,2.75,3,30,2015
1,3,1.5,9708,1.5,0,0,5,7,1690,0,1954,0,98006,47.5732,-122.136,1570,4.3,8,5,2014
1,4,2.5,16619,2.0,0,1,4,10,3840,0,1983,0,98040,47.5634,-122.213,3600,11.2,7,28,2014
1,5,1.75,8250,1.0,0,2,3,7,1190,1000,1963,0,98055,47.4887,-122.223,2570,2.5,1,19,2015
1,4,1.5,10488,1.0,0,0,3,7,1190,850,1961,0,98188,47.4557,-122.269,1960,2.61,12,3,2014
1,3,2.0,4080,1.5,0,0,3,7,1420,0,1905,2013,98103,47.6872,-122.349,1420,4.85,5,6,2014
1,3,2.5,6857,1.0,0,0,4,9,1450,560,1955,0,98102,47.6402,-122.314,2380,9.6,11,19,2014
1,3,2.5,1531,3.0,0,0,3,8,1480,0,2014,0,98107,47.669,-122.402,1530,5.9895,2,24,2015
1,3,2.5,11562,1.0,0,1,3,8,1290,1250,1964,0,98028,47.7614,-122.229,2230,3.7495,9,9,2014
1,3,2.25,9865,1.0,0,0,4,8,1660,520,1966,0,98040,47.5358,-122.235,2600,9.1,8,25,2014
1,3,1.0,8400,1.0,0,0,3,7,1310,0,1972,1989,98034,47.7253,-122.197,1680,3.75,4,1,2015
1,2,1.5,948,3.0,0,0,3,8,1010,0,1999,0,98103,47.6529,-122.355,1330,3.87,11,21,2014
1,4,2.75,8475,1.0,0,0,4,7,1330,850,1987,0,98031,47.4045,-122.174,1500,2.79,1,20,2015
1,3,1.75,5000,1.0,0,0,4,7,950,950,1925,0,98106,47.5677,-122.363,1420,5.15,3,4,2015
1,4,2.25,35025,2.0,0,0,3,10,3440,0,1988,0,98053,47.6674,-122.055,3210,8.53,3,23,2015
1,3,1.75,825,3.0,0,0,3,8,1530,0,2015,0,98144,47.5929,-122.308,1580,5.0,4,11,2015
1,3,2.5,1189,2.0,0,0,3,7,1080,270,2007,0,98106,47.5218,-122.358,1300,2.7,3,24,2015
1,3,1.5,7582,1.0,0,0,3,7,1400,0,1956,0,98148,47.4536,-122.33,1280,2.85,1,7,2015
1,3,2.0,8946,1.0,0,0,3,6,940,740,1996,0,98053,47.6379,-121.966,1550,3.81,7,31,2014
1,4,2.5,9990,2.0,0,0,3,10,2650,0,1990,0,98029,47.5605,-122.016,2710,6.95,8,20,2014
1,5,3.25,14342,2.0,0,4,4,8,3250,0,1968,0,98008,47.588,-122.116,2960,9.51,8,27,2014
1,3,2.5,2631,2.0,0,0,3,8,1730,0,2001,0,98005,47.5878,-122.165,1730,5.96,2,24,2015
1,3,1.0,6000,1.0,0,0,5,7,1580,0,1947,0,98027,47.5286,-122.032,1580,5.51,3,3,2015
1,4,2.5,8879,2.0,0,0,3,9,2770,0,2001,0,98004,47.5831,-122.193,2770,14.0,4,2,2015
1,3,2.75,16500,1.0,0,0,4,8,1500,840,1972,0,98075,47.5952,-122.051,2210,5.63,6,10,2014
1,3,1.75,7344,1.0,0,0,5,7,1580,0,1911,0,98126,47.5256,-122.38,1580,5.75,2,25,2015
1,4,2.75,9825,2.0,0,0,3,8,3220,0,2012,0,98059,47.4863,-122.143,2820,5.79,9,17,2014
1,3,2.5,5150,1.5,0,0,4,7,1300,0,1920,0,98117,47.6838,-122.362,1400,6.9,7,23,2014
1,5,2.5,7200,1.0,0,0,4,7,1490,1010,1977,0,98052,47.6964,-122.12,1960,6.615,6,27,2014
1,2,2.0,64468,1.0,0,0,3,7,1600,0,1950,0,98072,47.7344,-122.143,1950,9.95,8,28,2014
1,3,2.0,6324,1.0,0,0,5,7,910,910,1945,0,98115,47.6823,-122.27,1850,7.25,3,31,2015
1,5,2.25,8075,1.5,0,0,4,8,2600,0,1969,0,98092,47.2961,-122.188,2200,2.65,8,27,2014
1,5,2.5,7266,2.0,0,0,3,9,3320,0,2000,0,98075,47.5862,-122.054,3060,8.05,1,29,2015
1,3,1.75,29597,1.0,0,0,4,7,1740,0,1965,0,98059,47.481,-122.115,1560,3.5,12,2,2014
1,4,1.0,7110,1.0,0,0,4,7,880,220,1907,0,98030,47.3858,-122.227,1150,2.258,3,31,2015
1,3,2.25,1075,3.0,0,0,3,8,1540,80,2009,0,98027,47.5405,-122.026,1620,4.2,7,7,2014
1,3,2.5,23100,1.0,0,0,3,7,1510,1460,1967,0,98072,47.7735,-122.133,2390,4.0,6,24,2014
1,3,1.0,5060,1.0,0,0,3,7,1040,0,1941,0,98116,47.5636,-122.394,890,4.8,4,20,2015
1,5,2.75,12673,1.0,0,0,4,9,2050,1230,1981,0,98006,47.5504,-122.146,3060,9.65,3,12,2015
1,4,2.5,6163,2.0,0,0,3,9,2830,0,2000,0,98056,47.5227,-122.19,2730,5.27,9,9,2014
1,3,1.0,5000,1.0,0,0,4,7,1460,0,1934,1960,98115,47.6837,-122.32,1790,3.95,4,9,2015
1,3,2.0,8636,1.0,0,0,5,7,1250,0,1968,0,98059,47.5066,-122.159,1620,3.2,1,12,2015
1,2,2.5,7957,2.0,0,0,3,8,2630,0,2003,0,98053,47.7106,-122.023,2305,7.5,7,23,2014
1,3,1.5,4590,1.0,0,0,3,7,850,200,1949,0,98115,47.6943,-122.29,1770,4.38924,9,1,2014
1,4,4.0,6000,1.0,0,0,3,7,1380,1300,1962,2014,98199,47.6557,-122.388,1930,7.77,9,5,2014
1,3,1.75,9998,1.0,0,0,3,7,960,500,1958,0,98028,47.7434,-122.242,1460,4.46,4,23,2015
1,3,1.0,6250,1.0,0,0,2,5,1080,0,1950,0,98168,47.5045,-122.33,1070,1.15,9,24,2014
1,3,1.75,9512,1.0,0,0,3,8,1970,0,1968,0,98058,47.4545,-122.146,2250,3.71,5,11,2015
1,4,1.0,4080,1.0,0,0,4,7,1260,0,1911,0,98105,47.6644,-122.324,1340,6.18,10,2,2014
1,1,1.0,7140,1.0,0,0,3,6,720,0,1930,0,98146,47.5119,-122.339,1140,1.999,11,14,2014
1,4,2.5,19680,1.5,0,0,3,6,2100,0,1914,0,98055,47.4787,-122.23,1340,3.7,3,12,2015
1,2,2.5,14878,2.0,0,0,3,10,2510,0,1990,0,98011,47.7525,-122.205,3080,6.0,7,1,2014
1,4,2.5,9010,2.0,0,0,3,9,2950,0,2004,0,98065,47.531,-121.86,3160,6.1,4,16,2015
1,2,1.0,2600,1.0,0,0,3,7,930,0,1981,0,98034,47.7242,-122.161,1370,2.81,4,8,2015
1,3,1.75,73616,1.0,0,0,3,7,2170,0,2008,0,98092,47.2881,-122.086,1710,3.99,5,8,2015
1,3,1.0,7500,1.0,0,0,3,6,1270,0,1954,0,98198,47.4214,-122.316,1250,1.969,2,13,2015
1,5,2.75,6353,2.0,0,0,4,10,3520,0,2001,0,98199,47.6506,-122.391,2520,11.0,3,11,2015
1,4,3.0,4924,2.0,0,0,3,8,2650,0,2011,0,98028,47.7734,-122.238,2380,5.25,1,14,2015
1,3,2.25,5111,1.5,0,0,5,7,1360,0,1934,0,98115,47.6988,-122.313,1900,5.5,9,11,2014
1,4,2.25,7102,2.0,0,0,4,8,1995,0,1981,0,98023,47.2986,-122.37,1880,2.66,7,7,2014
1,4,3.75,126759,2.0,0,0,4,10,4740,0,1991,0,98027,47.4449,-121.979,3060,10.5,7,8,2014
1,4,2.75,7992,2.0,0,0,3,9,2700,0,2012,0,98059,47.4831,-122.135,2840,5.72,3,27,2015
1,3,2.25,1680,3.0,0,0,3,8,1570,0,2014,0,98103,47.6585,-122.348,1290,6.6,11,3,2014
1,2,1.0,9000,1.0,0,0,4,6,860,0,1942,0,98168,47.4801,-122.315,990,2.16,8,26,2014
1,3,2.5,70567,2.0,0,3,3,9,2210,0,1995,0,98014,47.6087,-121.895,2000,5.0995,8,19,2014
1,4,1.75,7500,1.0,0,0,4,7,1920,0,1962,0,98198,47.4222,-122.318,1490,1.7,7,23,2014
1,3,1.0,9876,1.0,0,0,3,7,1050,0,1953,0,98028,47.7635,-122.262,1760,3.1,5,14,2014
1,4,3.25,4120,2.0,0,0,3,9,2380,700,2014,0,98117,47.6845,-122.359,1410,12.8,4,3,2015
1,4,1.75,9750,1.0,0,0,4,7,1460,0,1967,0,98008,47.6205,-122.102,1820,4.27,4,24,2015
1,3,2.0,3760,1.0,0,0,5,7,930,580,1925,0,98136,47.5425,-122.39,1510,5.2,4,22,2015
1,3,2.5,4600,2.0,0,2,3,10,2510,0,2006,0,98034,47.7051,-122.223,2560,11.9,10,1,2014
1,3,2.5,2890,2.0,0,0,3,7,1660,0,2001,0,98108,47.5434,-122.293,1540,3.3,3,27,2015
1,3,1.75,7371,1.0,0,0,3,7,1830,0,1957,0,98008,47.6059,-122.121,1600,5.4495,3,17,2015
1,3,1.0,5350,1.5,0,0,4,6,1180,0,1959,0,98178,47.505,-122.259,1490,2.6,12,31,2014
1,3,2.75,5568,2.0,0,0,5,9,2500,0,1905,0,98112,47.6258,-122.312,2810,11.9,6,17,2014
1,2,1.0,8665,1.0,0,0,4,6,930,0,1938,0,98168,47.4822,-122.318,1630,2.0,8,22,2014
1,5,2.5,3839,1.0,0,0,4,8,1990,2000,1962,0,98112,47.6236,-122.299,2090,6.1,6,2,2014
1,3,2.5,7950,1.5,0,0,4,7,1720,0,1972,0,98034,47.7178,-122.168,1790,5.25,4,2,2015
1,4,2.5,9525,2.5,0,0,4,9,2620,0,1974,0,98040,47.5631,-122.219,2580,8.384,8,5,2014
1,4,2.75,4743,1.0,0,2,4,8,1310,1310,1949,0,98117,47.6829,-122.4,1900,8.15,6,26,2014
1,3,2.0,8225,1.0,0,0,4,8,2130,0,1987,0,98058,47.4396,-122.162,2580,3.975,8,20,2014
1,2,1.75,13054,1.0,0,1,3,7,2080,0,1951,0,98155,47.7435,-122.292,2440,6.0,5,12,2015
1,4,2.5,5000,2.0,0,0,3,7,1770,0,2004,0,98038,47.3506,-122.006,2080,3.2495,2,20,2015
1,3,1.0,11292,1.0,0,0,4,7,1090,0,1952,0,98133,47.7429,-122.358,1570,4.06,3,30,2015
1,3,1.75,6180,1.0,0,0,4,6,1060,440,1947,0,98118,47.5689,-122.284,1740,4.4,5,7,2014
